cns,nome,municipio,uf,email,telefone,endereco,bairro,cep,status,natureza
001149,Serventia de Registro de Imóveis da Comarca de Acrelândia,Acrelândia,AC,serei1ac@tj.ac.gov.br,6832351194,"Rua 7 Quedas, s/n",Centro,69945000,Inativo,Registro de Imóveis
153841,Ofício Único da Comarca de Acrelândia,Acrelândia,AC,ofunicodeacrelandia@gmail.com,6832351080,Rua Geraldo Barbosa,Centro,69945000,Ativo,Registro Civil das Pessoas Naturais | Notas | Protesto de Títulos | Registro de Imóveis | Registro de Títulos e Documentos | Registro Civil das Pessoas Jurídicas
001156,Serventia de Registro de Imóveis da Comarca de Assis Brasil,Assis Brasil,AC,cartorioassisbrasil@gmail.com,6835481097,"Rua Francisco das Chagas, 872",Cascata,69935000,Inativo,Registro de Imóveis
153999,CARTÓRIO ANDRADE,Assis Brasil,AC,cartorioassisbrasilacre@gmail.com,68992836688,"Avenida Presidente Getúlio Vargas, 397",Centro,69935000,Ativo,Registro Civil das Pessoas Naturais | Notas | Protesto de Títulos | Registro de Imóveis | Registro de Títulos e Documentos | Registro Civil das Pessoas Jurídicas
001164,SERVENTIA DE REGISTRO DE IMÓVEIS DA COMARCA DE BRASILÉIA-AC,Brasiléia,AC,,6835463386,"AV. PREFEITO ROLANDO MOREIRA, 128",CENTRO,69932000,Inativo,Registro de Imóveis
153817,CARTORIO AZEVEDO,Brasiléia,AC,cartoriobrasileia@yahoo.com.br,68992920413,"AVENIDA JOSÉ RUI LINO, Nº 845",RAIMUNDO CHAAR,69932000,Ativo,Protesto de Títulos | Registro de Imóveis | Registro Civil das Pessoas Naturais | Notas | Registro de Títulos e Documentos | Registro Civil das Pessoas Jurídicas
001032,Serventia de Registro Civil das Pessoas Naturais da Comarca de Bujari,Bujari,AC,cartoriobujari@gmail.com,6832311189,"Rua José Pereira Gurgel, 462",Centro,69926000,Inativo,Registro Civil das Pessoas Naturais | Notas | Registro de Contratos Marítimos | Protesto de Títulos | Registro de Imóveis | Registro de Títulos e Documentos | Registro Civil das Pessoas Jurídicas | Registro de Distribuição
001172,Serventia de Registro de Imóveis da Comarca de Bujari,Bujari,AC,serei1bj@tj.ac.gov.br,6832311099,BR-364 - km 28,Centro,69923000,Inativo,Registro de Imóveis
154377,Cartório Decarli: Serventias Extrajudiciais da Comarca de Bujari/AC-,Bujari,AC,cartoriobujari@gmail.com,68999376361,"Rodovia BR 364, n° 370",Centro,69926000,Ativo,Registro de Imóveis | Registro de Títulos e Documentos | Registro Civil das Pessoas Jurídicas | Registro Civil das Pessoas Naturais | Registro de Contratos Marítimos | Protesto de Títulos | Notas
001180,Serventia de Registro de Imóveis da Comarca de Capixaba-Acre,Capixaba,AC,serei1cp@tj.ac.gov.br,6832341015,"Rua Francisco Cordeiro de Andrade, s/n",centro,69922000,Inativo,Registro de Imóveis
154393,Serviços Extrajudiciais de Capixaba,Capixaba,AC,cartoriocapixaba@gmail.com,68992591415,AV. GOVERNADOR EDMUNDO PINTO,Centro,69931000,Ativo,Notas | Protesto de Títulos | Registro de Imóveis | Registro de Títulos e Documentos | Registro Civil das Pessoas Jurídicas | Registro Civil das Pessoas Naturais
001222,"Registro de Imóveis, Títulos e Documentos e Pessoas Jurídicas da comarca de Cruzeiro do Sul",Cruzeiro do Sul,AC,atendimentoauxiliares@gmail.com,68999005302,"Avenida Boulevard Thaumaturgo, nº 798",Centro,69980000,Ativo,Registro de Imóveis | Registro de Títulos e Documentos | Registro Civil das Pessoas Jurídicas
001230,Serventia de Registro de Imóveis de Epitaciolândia,Epitaciolândia,AC,serei1ep@tj.ac.gov.br,6835465341,"BR 317, Km 01, 645",Centro,69934000,Inativo,Registro de Imóveis
153908,CARTORIO DE EPITACIOLÂNDIA,Epitaciolândia,AC,cartorioepitaciolandia@gmail.com,68992134111,Av. Amazonas,Liberdade,69934000,Ativo,Notas | Protesto de Títulos | Registro de Imóveis | Registro Civil das Pessoas Naturais | Registro de Títulos e Documentos | Registro Civil das Pessoas Jurídicas
001446,CARTÓRIO FEIJÓ,Feijó,AC,cartoriofeijo@gmail.com,6834632423,AV. PLACIDO DE CASTRO,Centro,69960000,Ativo,Registro Civil das Pessoas Naturais | Notas | Protesto de Títulos | Registro de Imóveis | Registro de Títulos e Documentos | Registro Civil das Pessoas Jurídicas
001123,Serventia de Registro de Imóveis,Feijó,AC,SDECARLI@UOL.COM.BR,6834632423,"AV. PLACIDO DE CASTRO,551",Centro,69960000,Inativo,Registro de Imóveis
