municipio_norm,uf_sigla,municipio_ri_norm,observacao
TAPEJARA,PR,UMUARAMA,Sem RI proprio - circunscricao pertence ao RI de Umuarama (TJPR)
NOVA MARINGA,MT,SAO JOSE DO RIO CLARO,Sem RI proprio - comarca atendida pelo 1o Servico Registral de Sao Jose do Rio Claro
ACORIZAL,MT,ROSARIO OESTE,Importado da revisao - sugestao distancia (ROSARIO OESTE)
ALTO BOA VISTA,MT,SAO FELIX DO ARAGUAIA,Importado da revisao - sugestao distancia (SAO FELIX DO ARAGUAIA)
ALTO PARAGUAI,MT,DIAMANTINO,Importado da revisao - sugestao distancia (DIAMANTINO)
ARAGUAIANA,MT,BARRA DO GARCAS,Importado da revisao - sugestao distancia (BARRA DO GARCAS)
ARAGUAINHA,MT,ALTO GARCAS,Importado da revisao - sugestao distancia (ALTO GARCAS)
BARAO DE MELGACO,MT,VARZEA GRANDE,Importado da revisao - sugestao distancia (VARZEA GRANDE)
BOA ESPERANCA DO NORTE,MT,NOVA UBIRATA,Importado da revisao - sugestao distancia (NOVA UBIRATA)
BOM JESUS DO ARAGUAIA,MT,QUERENCIA,Importado da revisao - sugestao distancia (QUERENCIA)
CAMPOS DE JULIO,MT,COMODORO,Importado da revisao - sugestao distancia (COMODORO)
CANABRAVA DO NORTE,MT,PORTO ALEGRE DO NORTE,Importado da revisao - sugestao distancia (PORTO ALEGRE DO NORTE)
CARLINDA,MT,ALTA FLORESTA,Importado da revisao - sugestao distancia (ALTA FLORESTA)
CASTANHEIRA,MT,JUINA,Importado da revisao - sugestao distancia (JUINA)
COCALINHO,MT,AGUA BOA,Importado da revisao - sugestao distancia (AGUA BOA)
CONFRESA,MT,PORTO ALEGRE DO NORTE,Importado da revisao - sugestao distancia (PORTO ALEGRE DO NORTE)
CONQUISTA D'OESTE,MT,VILA BELA DA SANTISSIMA TRINDADE,Importado da revisao - sugestao distancia (VILA BELA DA SANTISSIMA TRINDADE)
CURVELANDIA,MT,MIRASSOL D'OESTE,Importado da revisao - sugestao distancia (MIRASSOL D'OESTE)
DENISE,MT,ARENAPOLIS,Importado da revisao - sugestao distancia (ARENAPOLIS)
FIGUEIROPOLIS D'OESTE,MT,JAURU,Importado da revisao - sugestao distancia (JAURU)
GAUCHA DO NORTE,MT,CANARANA,Importado da revisao - sugestao distancia (CANARANA)
GENERAL CARNEIRO,MT,BARRA DO GARCAS,Importado da revisao - sugestao distancia (BARRA DO GARCAS)
GLORIA D'OESTE,MT,PORTO ESPERIDIAO,Importado da revisao - sugestao distancia (PORTO ESPERIDIAO)
INDIAVAI,MT,ARAPUTANGA,Importado da revisao - sugestao distancia (ARAPUTANGA)
IPIRANGA DO NORTE,MT,SORRISO,Importado da revisao - sugestao distancia (SORRISO)
ITANHANGA,MT,TAPURAH,Importado da revisao - sugestao distancia (TAPURAH)
JANGADA,MT,ROSARIO OESTE,Importado da revisao - sugestao distancia (ROSARIO OESTE)
JURUENA,MT,COTRIGUACU,Importado da revisao - sugestao distancia (COTRIGUACU)
LAMBARI D'OESTE,MT,RIO BRANCO,Importado da revisao - sugestao distancia (RIO BRANCO)
LUCIARA,MT,SAO FELIX DO ARAGUAIA,Importado da revisao - sugestao distancia (SAO FELIX DO ARAGUAIA)
NOSSA SENHORA DO LIVRAMENTO,MT,VARZEA GRANDE,Importado da revisao - sugestao distancia (VARZEA GRANDE)
NOVA BANDEIRANTES,MT,NOVA MONTE VERDE,Importado da revisao - sugestao distancia (NOVA MONTE VERDE)
NOVA BRASILANDIA,MT,CAMPO VERDE,Importado da revisao - sugestao distancia (CAMPO VERDE)
NOVA GUARITA,MT,TERRA NOVA DO NORTE,Importado da revisao - sugestao distancia (TERRA NOVA DO NORTE)
NOVA LACERDA,MT,VILA BELA DA SANTISSIMA TRINDADE,Importado da revisao - sugestao distancia (VILA BELA DA SANTISSIMA TRINDADE)
NOVA MARILANDIA,MT,ARENAPOLIS,Importado da revisao - sugestao distancia (ARENAPOLIS)
NOVA NAZARE,MT,AGUA BOA,Importado da revisao - sugestao distancia (AGUA BOA)
NOVA OLIMPIA,MT,TANGARA DA SERRA,Importado da revisao - sugestao distancia (TANGARA DA SERRA)
NOVA SANTA HELENA,MT,ITAUBA,Importado da revisao - sugestao distancia (ITAUBA)
NOVO HORIZONTE DO NORTE,MT,PORTO DOS GAUCHOS,Importado da revisao - sugestao distancia (PORTO DOS GAUCHOS)
NOVO MUNDO,MT,GUARANTA DO NORTE,Importado da revisao - sugestao distancia (GUARANTA DO NORTE)
NOVO SANTO ANTONIO,MT,SAO FELIX DO ARAGUAIA,Importado da revisao - sugestao distancia (SAO FELIX DO ARAGUAIA)
PLANALTO DA SERRA,MT,PARANATINGA,Importado da revisao - sugestao distancia (PARANATINGA)
PONTAL DO ARAGUAIA,MT,BARRA DO GARCAS,Importado da revisao - sugestao distancia (BARRA DO GARCAS)
PONTE BRANCA,MT,ALTO ARAGUAIA,Importado da revisao - sugestao distancia (ALTO ARAGUAIA)
PORTO ESTRELA,MT,BARRA DO BUGRES,Importado da revisao - sugestao distancia (BARRA DO BUGRES)
RESERVA DO CABACAL,MT,RIO BRANCO,Importado da revisao - sugestao distancia (RIO BRANCO)
RIBEIRAOZINHO,MT,BARRA DO GARCAS,Importado da revisao - sugestao distancia (BARRA DO GARCAS)
RONDOLANDIA,MT,ARIPUANA,Importado da revisao - sugestao distancia (ARIPUANA)
SALTO DO CEU,MT,RIO BRANCO,Importado da revisao - sugestao distancia (RIO BRANCO)
SANTA CARMEM,MT,SINOP,Importado da revisao - sugestao distancia (SINOP)
SANTA CRUZ DO XINGU,MT,PORTO ALEGRE DO NORTE,Importado da revisao - sugestao distancia (PORTO ALEGRE DO NORTE)
SANTA RITA DO TRIVELATO,MT,NOVA MUTUM,Importado da revisao - sugestao distancia (NOVA MUTUM)
SANTA TEREZINHA,MT,VILA RICA,Importado da revisao - sugestao distancia (VILA RICA)
SANTO AFONSO,MT,ARENAPOLIS,Importado da revisao - sugestao distancia (ARENAPOLIS)
SANTO ANTONIO DO LESTE,MT,PARANATINGA,Importado da revisao - sugestao distancia (PARANATINGA)
SERRA NOVA DOURADA,MT,SAO FELIX DO ARAGUAIA,Importado da revisao - sugestao distancia (SAO FELIX DO ARAGUAIA)
SAO JOSE DO POVO,MT,PEDRA PRETA,Importado da revisao - sugestao distancia (PEDRA PRETA)
SAO JOSE DO XINGU,MT,PORTO ALEGRE DO NORTE,Importado da revisao - sugestao distancia (PORTO ALEGRE DO NORTE)
SAO PEDRO DA CIPA,MT,JUSCIMEIRA,Importado da revisao - sugestao distancia (JUSCIMEIRA)
TESOURO,MT,GUIRATINGA,Importado da revisao - sugestao distancia (GUIRATINGA)
TORIXOREU,MT,BARRA DO GARCAS,Importado da revisao - sugestao distancia (BARRA DO GARCAS)
UNIAO DO SUL,MT,MARCELANDIA,Importado da revisao - sugestao distancia (MARCELANDIA)
VALE DE SAO DOMINGOS,MT,JAURU,Importado da revisao - sugestao distancia (JAURU)
ABATIA,PR,RIBEIRAO DO PINHAL,Importado da revisao - sugestao distancia (RIBEIRAO DO PINHAL)
ADRIANOPOLIS,PR,BOCAIUVA DO SUL,Importado da revisao - sugestao distancia (BOCAIUVA DO SUL)
AGUDOS DO SUL,PR,FAZENDA RIO GRANDE,Importado da revisao - sugestao distancia (FAZENDA RIO GRANDE)
ALTAMIRA DO PARANA,PR,CAMPINA DA LAGOA,Importado da revisao - sugestao distancia (CAMPINA DA LAGOA)
